,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,file,a,a_tag,X,X_tag,b,b_tag,grammar category,grammar cateogry,encode_cat,encode_pos,name,encoded_case,aXb,pred_y,pred_y_aXb,fold,correctaXb,correctaX+Xb,pred_y_aX_Xb,aXb_correct,aX_Xb_correct
2580,5812,172099,172099,75176,Aran/020413.xml,than,prep,I,pro:sub,am,cop,unknown,NOUN,6,84,Aran,2,than_am,2,2,0,0,0,2,1,1
3908,10045,89134,89134,89134,Anne/020525.xml,are,cop,they,pro:sub,grapes,n,unknown,NOUN,6,84,Anne,2,are_grapes,2,0,0,0,0,2,0,1
3119,7467,46429,46429,46429,Anne/020122.xml,S,/s,they,pro:sub,fall,v,unknown,NOUN,6,84,Anne,2,S_fall,2,0,0,0,0,2,0,1
2358,5184,243113,243113,35386,Eve/020200a.xml,call,v,him,pro:obj,Fraser,n:prop,unknown,NOUN,6,72,Eve,1,call_Fraser,1,0,0,0,0,1,0,1
879,1445,240889,240889,33162,Eve/020100b.xml,how's,pro:int~cop,your,det:poss,foot,n,unknown,DET,4,25,Eve,0,how's_foot,0,0,0,0,0,0,1,1
3354,8210,205102,205102,108179,Aran/020610.xml,pull,v,her,det:poss,leg,n,unknown,DET,4,25,Aran,0,pull_leg,0,2,0,0,0,0,0,1
787,1252,103172,103172,6249,Aran/011126.xml,S,/s,she,pro:sub,made,v,unknown,NOUN,6,84,Aran,2,S_made,2,2,0,0,0,2,1,1
5476,16112,348597,348597,63481,Nina/020418.xml,over,prep,her,det:poss,eyes,n,unknown,DET,4,25,Nina,0,over_eyes,0,0,0,0,0,0,1,1
4031,10505,208636,208636,909,Eve/010600a.xml,that's,pro:dem~cop,my,det:poss,paper,n,unknown,DET,4,25,Eve,0,that's_paper,0,0,0,0,0,0,1,1
7071,23383,364562,364562,79446,Nina/020526.xml,enough,adv,I,pro:sub,think,v,unknown,NOUN,6,84,Nina,2,enough_think,2,0,0,0,0,2,0,1
3372,8279,208166,208166,439,Eve/010600a.xml,if,conj,he,pro:sub,would,mod,unknown,NOUN,6,84,Eve,2,if_would,2,0,0,0,0,2,0,1
3643,9146,192762,192762,95839,Aran/020517.xml,said,v,I,pro:sub,wanna,v~inf,unknown,NOUN,6,84,Aran,2,said_wanna,2,0,0,0,0,2,0,1
2051,4322,50957,50957,50957,Anne/020210.xml,if,conj,we,pro:sub,have,v,unknown,NOUN,6,84,Anne,2,if_have,2,0,0,0,0,2,0,1
5657,16901,307918,307918,22802,Nina/020115.xml,is,cop,your,det:poss,bicycle,n,unknown,DET,4,25,Nina,0,is_bicycle,0,0,0,0,0,0,1,1
2814,6549,194473,194473,97550,Aran/020517.xml,put,v,them,pro:obj,by,prep,unknown,NOUN,6,72,Aran,1,put_by,1,0,0,0,0,1,0,1
3076,7325,72230,72230,72230,Anne/020400.xml,forgotten,part,me,pro:obj,E,/e,unknown,NOUN,6,72,Anne,1,forgotten_E,2,0,0,0,-1,1,0,1
6555,20951,86177,86177,86177,Anne/020504.xml,here's,pro:exist~cop,her,det:poss,dress,n,unknown,DET,4,25,Anne,0,here's_dress,0,0,0,0,0,0,1,1
4183,11128,77043,77043,77043,Anne/020412.xml,stick,v,them,pro:obj,to,prep,unknown,NOUN,6,72,Anne,1,stick_to,1,0,0,0,0,1,0,1
1629,3179,130024,130024,33101,Aran/020121.xml,S,/s,he,pro:sub,drinks,v,unknown,NOUN,6,84,Aran,2,S_drinks,2,2,0,0,0,2,1,1
