,Unnamed: 0,file,a,a_tag,X,X_tag,b,b_tag,grammar cateogry,encode_cat,encode_pos,name,encoded_case,aXb,pred_y_aX_Xb,pred_y_aXb,fold,aXb_correct,aX_Xb_correct
19161,20532,Anne/020301.xml,S,/s,I,pro:sub,don't,mod~neg,NOUN,6,84,Anne,2,S_don't,2,2,0,1,1
12379,15646,Anne/011104.xml,eating,part,them,pro:obj,E,/e,NOUN,6,72,Anne,1,eating_E,1,1,0,1,1
18979,14549,Nina/020524.xml,let,v,me,pro:obj,see,v,NOUN,6,72,Nina,1,let_see,1,1,0,1,1
9662,21107,Eve/010800.xml,on,prep,your,det:poss,stool,n,DET,4,25,Eve,0,on_stool,0,0,0,1,1
24807,8142,Nina/020212.xml,is,cop,his,det:poss,nose,n,DET,4,25,Nina,0,is_nose,0,0,0,1,1
19221,24017,Naomi/020117.xml,ask,v,them,pro:obj,ask,v,NOUN,6,72,Naomi,1,ask_ask,1,2,0,0,1
15451,468,Anne/011118.xml,with,prep,your,det:poss,toes,n,DET,4,25,Anne,0,with_toes,0,0,0,1,1
15218,10553,Anne/020328.xml,opened,part,them,pro:obj,all,post,NOUN,6,72,Anne,1,opened_all,1,2,0,0,1
3334,17574,Eve/010900b.xml,in,prep,your,det:poss,high,n,DET,4,25,Eve,0,in_high,0,0,0,1,1
10158,9847,Nina/020228.xml,o,co,I,pro:sub,wanna,v~inf,NOUN,6,84,Nina,2,o_wanna,2,2,0,1,1
24550,19859,Nina/020328.xml,tell,v,me,pro:obj,what,pro:int,NOUN,6,72,Nina,1,tell_what,1,1,0,1,1
24299,17695,Nina/020527.xml,S,/s,we,pro:sub,can,mod,NOUN,6,84,Nina,2,S_can,2,2,0,1,1
15907,21526,Eve/010900c.xml,oh,co,I,pro:sub,see,v,NOUN,6,84,Eve,2,oh_see,2,2,0,1,1
9688,10541,Anne/020604.xml,there,adv,we,pro:sub,are,cop,NOUN,6,84,Anne,2,there_are,2,2,0,1,1
19689,5758,Aran/011112.xml,didn't,mod~neg,we,pro:sub,E,/e,NOUN,6,84,Aran,2,didn't_E,2,2,0,1,1
16372,5663,Anne/020400.xml,S,/s,he,pro:sub,goes,v,NOUN,6,84,Anne,2,S_goes,2,2,0,1,1
6697,20696,Aran/011112.xml,no,co,we,pro:sub,put,v,NOUN,6,84,Aran,2,no_put,2,2,0,1,1
1220,370,Anne/020502.xml,on,prep,your,det:poss,feet,n,DET,4,25,Anne,0,on_feet,0,0,0,1,1
1911,23741,Anne/011118.xml,put,v,your,det:poss,trousers,n,DET,4,25,Anne,0,put_trousers,0,0,0,1,1
6323,489,Nina/020024.xml,is,cop,he,pro:sub,E,/e,NOUN,6,84,Nina,2,is_E,2,2,0,1,1
5232,765,Aran/020121.xml,S,/s,we,pro:sub,could,mod,NOUN,6,84,Aran,2,S_could,2,2,0,1,1
18200,11307,Aran/020218.xml,haven't,aux~neg,they,pro:sub,E,/e,NOUN,6,84,Aran,2,haven't_E,2,2,0,1,1
3395,7318,Eve/011100a.xml,touch,v,them,pro:obj,again,adv,NOUN,6,72,Eve,1,touch_again,1,0,0,0,1
2761,4901,Naomi/020430.xml,in,prep,my,det:poss,mouth,n,DET,4,25,Naomi,0,in_mouth,0,0,0,1,1
11383,5973,Anne/020301.xml,help,v,me,pro:obj,make,v,NOUN,6,72,Anne,1,help_make,1,1,0,1,1
4724,7370,Aran/020517.xml,isn't,cop~neg,he,pro:sub,E,/e,NOUN,6,84,Aran,2,isn't_E,2,2,0,1,1
24871,8558,Anne/020414.xml,S,/s,my,det:poss,elephant's,n~aux,DET,4,25,Anne,0,S_elephant's,0,0,0,1,1
23114,9632,Anne/020414.xml,can,mod,I,pro:sub,drink,v,NOUN,6,84,Anne,2,can_drink,2,2,0,1,1
19741,9747,Anne/020525.xml,for,prep,me,pro:obj,E,/e,NOUN,6,72,Anne,1,for_E,1,1,0,1,1
3801,10004,Naomi/011018.xml,from,prep,your,det:poss,room,n,DET,4,25,Naomi,0,from_room,0,0,0,1,1
415,3174,Eve/010900b.xml,was,cop,your,det:poss,name,n,DET,4,25,Eve,0,was_name,0,0,0,1,1
21200,7047,Anne/020108.xml,where,pro:int,he,pro:sub,was,aux,NOUN,6,84,Anne,2,where_was,2,2,0,1,1
12682,12958,Nina/020525.xml,chasing,part,him,pro:obj,E,/e,NOUN,6,72,Nina,1,chasing_E,1,2,0,0,1
20726,20706,Naomi/011117.xml,of,prep,your,det:poss,cheese,n,DET,4,25,Naomi,0,of_cheese,0,2,0,0,1
5096,15201,Peter/020616.xml,where's,pro:int~cop,your,det:poss,chair,n,DET,4,25,Peter,0,where's_chair,0,0,0,1,1
17899,4465,Anne/020108.xml,leave,v,her,pro:obj,there,adv,NOUN,6,72,Anne,1,leave_there,1,1,0,1,1
14604,14411,Anne/020120.xml,S,/s,she,pro:sub,can,mod,NOUN,6,84,Anne,2,S_can,2,2,0,1,1
8134,11953,Anne/020108.xml,S,/s,I,pro:sub,like,v,NOUN,6,84,Anne,2,S_like,2,2,0,1,1
14846,1989,Nina/020003.xml,was,cop,he,pro:sub,nice,adj,NOUN,6,84,Nina,2,was_nice,0,0,0,0,0
20781,4322,Aran/020610.xml,show,v,me,pro:obj,this,det:dem,NOUN,6,72,Aran,1,show_this,1,0,0,0,1
9629,22947,Nina/020314.xml,think,v,we,pro:sub,better,adv,NOUN,6,84,Nina,2,think_better,2,2,0,1,1
12113,3172,Nina/020122.xml,make,v,him,pro:obj,out_of,prep,NOUN,6,72,Nina,1,make_out_of,1,0,0,0,1
1326,4336,Eve/020300a.xml,eat,v,your,det:poss,noodle,n,DET,4,25,Eve,0,eat_noodle,0,0,0,1,1
